state_abbr,Votes,Democrats2016,Republicans2016,Libertarians2016,Green2016,TotalPopulation,Unemployment,White,Black,Hispanic,Asian,Amerindian,Other
AK,7151052,0.3771595,0.52887002,NA,NA,696679,NA,0.6485641034106095,0.03316677264565173,0.05677912280978758,0.04941411539604324,0.13831196218057384,0.07392490587487208
AL,2078165,0.34553752950324396,0.6288841357638738,0.021109488418870295,0.004468846313934645,4706534,0.07428794140231432,0.6778035369552201,0.26018440502076473,0.033516962588605544,0.010548137759123806,0.0049957181866741,0.012971220753956098
AR,1121684,0.3376432221552263,0.6043627260440797,0.026315789473683574,0.008769849618965807,2877011,0.07424264696937204,0.7514188341650414,0.15370528006323228,0.05899094494251152,0.011541443011514382,0.0066308879250027205,0.01774748306488922
AZ,2062810,0.4538711757264656,0.4950305651027952,0.038855250847173985,0.012243008323612631,6358438,0.08405672808321792,0.5815638105616505,0.03579721096596365,0.2972042346721003,0.025298198079465428,0.04082421728418206,0.02002127204826091
CA,11954317,0.6158854579479189,0.32759788785932936,0.03366198169247163,0.018429492876923737,36781229,0.10585868960496127,0.4134860158152953,0.05904773765172447,0.3684842211362758,0.12486284298711173,0.004456717936205993,0.029870929992578555
CO,2564185,0.4727463112061342,0.4435931884790436,0.05048426693081709,0.012926914399710906,4936185,0.08103245644156368,0.7063346030385814,0.037146781066754994,0.201937546404764,0.026197510729439842,0.006276672673329708,0.022316498267386655
CT,1623542,0.544754616757636,0.4116099244737975,0.02959640095543292,0.014039057813092944,3534290,0.08358300818551957,0.7259920978470924,0.09228932133469522,0.1251565172920162,0.03552448256934208,0.0016558757204417295,0.019416708447807057
DC,280272,0.928465918822,0.0412206713478,0.0160593994405,0.0142540103899,595078,0.089,0.3335,0.523,0.08800000000000001,0.032,0.002,0.021
DE,441535,0.5335500016986374,0.41922610891525297,0.03340845006624267,0.01381543931966323,880882,0.07106816349976501,0.6683959724457986,0.2044878746529047,0.074272801578418,0.03013105671361204,0.0030566040627462024,0.0195473133745496
FL,9386750,0.4778805230778792,0.4906399978693149,0.021946573627727,0.006820145417743937,18511850,0.08675062994784422,0.5920231678357377,0.1501285792343823,0.21508068159044072,0.02301178731461199,0.002481399076807558,0.017311416606119866
GA,4029564,0.4559550363264558,0.5133614951891255,0.03068346848443414,NA,9592621,0.091714642744668,0.5713287118817683,0.29719808939600556,0.08270158432194913,0.03010256482560918,0.0021558918568762384,0.016482954137352034
HI,428825,0.6222282,0.3003906,NA,NA,1320270,NA,0.23780419573269104,0.019055670431048194,0.08770821195664524,0.376442417460065,0.0019878824028418426,0.27684605686715597
IA,1542880,0.42180208441353634,0.5178127916623798,0.03715259773928891,0.007206652494037405,3012594,0.052782226546292,0.8953920312528006,0.026214937691570787,0.0453075577060832,0.016407167875923542,0.002681588524706615,0.014047760335445135
ID,688235,0.27559917760629965,0.5916569195113884,0.041055744040908886,0.012298124913712401,1530066,0.07120516696665373,0.8459047943029909,0.00558325588569382,0.10632958970397356,0.011498602347872576,0.010726744467232133,0.02011635315077912
IL,5374280,0.5540273301724873,0.39413260939156003,0.03804993413071305,0.013790126305298522,12807809,0.08934454768961654,0.6441490402847201,0.14407740418365078,0.15238893057352745,0.04337305475120686,0.0012602976824529473,0.01469633424420992
IN,2722029,0.37911168470286766,0.5717132330331044,0.049175082264001656,NA,6413109,0.0843434827008242,0.8238605092319496,0.0877028141888747,0.05535950449306257,0.014466445915701731,0.0020288779591926477,0.016639186313533734
KS,1147143,0.3615835166148925,0.5718633160816493,0.046766619331677285,0.01978654797180077,2815451,0.05827889066440865,0.7937751683478065,0.056264166735631345,0.09659252354240937,0.02246679874734101,0.007509560280040391,0.023470643424446033
KY,1923346,0.32694793344505135,0.6254423281094875,0.027945569855866027,0.0072337478540001965,4295654,0.0841616238179332,0.8698572906477104,0.07553102053843257,0.02717050861172711,0.010600498201205219,0.0018187045558138528,0.014881342747809764
LA,2027731,0.3844370875623447,0.5809468810211897,0.01871550023153783,0.006913145777226293,4472444,0.06534912276151474,0.610954689538874,0.31756689038476504,0.037787220365419885,0.014767819004553215,0.005607864178958976,0.013142062371267254
MA,3231531,0.607999118684004,0.3351566177147611,0.04232792444201225,0.014516339159352984,6529399,0.06753431655807832,0.7752705379162768,0.058388285430251693,0.08970114064096864,0.05046446824585234,0.0015025466356091885,0.024604712547050656
MD,2474543,0.6053445019950573,0.3530534729037409,0.028735406901390943,0.012866618199806652,5705479,0.0691847986821089,0.5621727381697488,0.28763495028200087,0.07367156429810715,0.05194536874116967,0.002162258330983253,0.022323684216522397
ME,741550,0.47855572786729894,0.4515379947407827,0.050925763603276226,0.01898051378866791,1322366,0.07404745660429866,0.9447873470733519,0.011330372604861286,0.0127118778008509,0.009562363596765194,0.0055762285176721126,0.0160348795265456
MI,4790917,0.47343608749649313,0.47585984061087133,0.03612189482722585,0.010582525224299724,9961406,0.092720164302107555,0.7706519177614084,0.13943655488994225,0.042310938636573994,0.02361593433698014,0.004984177434390286,0.018862199472644725
MN,2916404,0.46861683086419753,0.45360347880462215,0.038727144798873396,0.01267211264283699,5246227,0.05692289220424507,0.8421335245310583,0.04668779315115415,0.04362923287535976,0.03794589673683583,0.010164888404561983,0.019246102961232903
MO,2775098,0.38012675588395756,0.5714223425623232,0.03473895336309419,0.009039680760829009,5946623,0.07011916040414871,0.8153700575940328,0.11289616922074931,0.03344244977359419,0.015329296812661574,0.003846418463050373,0.019193282893501067
MS,1162987,0.3972537956141304,0.5833745347111032,0.01185653837919163,0.0030782803247155002,2944748,0.09371299751286019,0.584372837336166,0.3687530698721928,0.024256751851092183,0.00850977910503717,0.004369521602527618,0.00982749831224947
MT,485109,0.35975626096406305,0.565068881426662,0.05620180206921817,0.015808818224363287,972822,0.06223922464746891,0.8785739338748507,0.004462663262138398,0.028548861970638,0.006340780224953794,0.059883209364097446,0.0221547883374348
NC,4629471,0.4670239861098171,0.5053715640512962,0.02760444983886806,NA,9290565,0.09580219652948986,0.66360686465247265,0.21060829739633705,0.07700748646610836,0.020388103952773594,0.011160943710097286,0.017385435708161992
ND,336968,0.2775515775977664,0.6414051185868805,0.06336209966524088,0.011185038341931037,656147,0.03443355833372705,0.8925804819651694,0.010384003889372351,0.019785480997398446,0.009244530570131387,0.05260997992827827,0.015375445593746522
NE,805638,0.3399268654158561,0.6030239387913209,0.046689704308887886,0.010359491483784174,1799205,0.039562316134070324,0.8316443962750215,0.04250417156466329,0.08460566111143533,0.0167298098326761,0.00746129540547075,0.017120562415066654
NH,732229,0.4759726806776976,0.47224160747502575,0.04210021728174386,0.00876228611541507,1315941,0.05537677753029961,0.9268013767334554,0.010326709936083762,0.02675036532792883,0.020240992947252193,0.002045641863882955,0.01370237305471902
NJ,3674893,0.5501537051554357,0.41783883231423885,0.018693061267356124,0.009782325635057782,8721216,0.09571315181277473,0.6066848490508663,0.1291900445419538,0.16796013698089807,0.07776044819896676,0.0012904336964019696,0.017077431633386903
NM,788841,0.482637185440423,0.40042923732419994,0.09338890853801227,0.012333283893713121,2012010,0.06943809623212609,0.4104945236355684,0.018754863792923494,0.4552531582845016,0.012820320475544357,0.08634545752754708,0.016552021113215146
NV,1122990,0.47885822669834754,0.4553192815610905,0.033214009029494423,NA,2623155,0.11097149539390544,0.5581415295703075,0.07471677445671338,0.25845916558495396,0.06616352102716004,0.009449523569899606,0.033518174297744514
NY,7046175,0.5881026230542775,0.37475225920439537,0.022967922312466544,0.014177195428728905,19400982,0.08598098658098853,0.5933702212599342,0.14477814344655338,0.16983906497619553,0.0700431252912868,0.0025717968812094152,0.019312752519434328
OH,5325395,0.4350852847535405,0.5205217641132939,0.031659435591165956,0.0083205095584487,11524162,0.07238093824088902,0.8180663762796809,0.11833707761136991,0.02850672894914181,0.01567076378308462,0.001762874819010701,0.017644147661235586
OK,1451056,0.2892982765654271,0.6532718241061555,0.05742989932849486,NA,3680693,0.05294201988592909,0.7009486217676943,0.07245114887332359,0.08186922584958865,0.0162929172577012,0.07286314058249356,0.05537109533449271
OR,1808575,0.5167775735039883,0.4105475305142339,0.04772044289011965,0.024954453091515547,3779231,0.08857765058552917,0.7942095164333697,0.016793887301411316,0.1113976447854074,0.03547429159530074,0.010386151706524422,0.03167097129019105
PA,5970107,0.4764914598682206,0.4879210707615108,0.02389454661365148,0.008192817984669212,12609468,0.08003714304203793,0.804711858858756,0.10291171483206112,0.05173810144091725,0.025472609153693083,0.0012061183707353872,0.01412684849194272
RI,450787,0.5543682493064825,0.3980172453952014,0.03248319050905309,0.013653898626210244,1054972,0.10459351243445324,0.7744688768991026,0.04876489944756827,0.11926644925173369,0.02779203523884994,0.0039046846740956155,0.02625965096703988
SC,2084444,0.40752785874790864,0.5486407886227321,0.023370740590777577,0.006196856331952133,4521106,0.09231881247641617,0.6455530444320483,0.2786821912602801,0.04565556348380241,0.012212290753634178,0.003203637229474381,0.014610599043685328
SD,370047,0.3173705,0.61532994,NA,NA,805331,0.04558054762575885,0.8530409148536441,0.010762985654345853,0.026147586520325183,0.008885605421870014,0.08320182695065756,0.01790842150618814
TN,2484691,0.34898102017513294,0.6107004854929744,0.02820632424716384,0.0064068328818362484,6252504,0.08152067491680133,0.7631058496723874,0.16473666902092346,0.04139657999419112,0.013767215742684852,0.002416542316486323,0.014633521785831724
TX,8903237,0.4344280625125282,0.5258300997716487,0.03173272822007515,0.008009109495793577,24482238,0.06902555060530007,0.46546512150972474,0.1139215631552965,0.36762553055811314,0.035648412575680376,0.0031700663150158086,0.014052626438808412
UT,984957,0.27837560421412255,0.45899059552862614,0.03364816941246609,0.007812523795468273,2707845,0.05762081692268206,0.812412438488909,0.009357674460687375,0.12257399629594752,0.01947983802617949,0.010409884797689676,0.02565676691243406
VA,3844787,0.4985568771431011,0.4502605736026422,0.03032677753019098,0.0070932407959139725,7855088,0.060350792250831564,0.6590519183235121,0.19170019088264828,0.0729043412371701,0.051189084896311784,0.002527903952189969,0.0226596670845699
VT,291413,0.6114311990199515,0.3261796831303541,0.03447684214498633,0.02315613922510468,623074,0.05017574958993635,0.9472386249466355,0.008388149722183881,0.014135056189152494,0.011608658040617968,0.002865064984255482,0.01570220631899261
WA,2957942,0.5444745028808796,0.381724861406997,0.04888500180192906,0.01726403019397642,6595140,0.08267650663973776,0.7402588551569793,0.03346919891010654,0.10431408984494643,0.0677591360456336,0.012791200262617625,0.04109672781775671
WI,2937326,0.4700952498972425,0.4778815834538308,0.03621218754746197,0.010531347218517399,5643185,0.07011526753065866,0.8419146963992852,0.06025758592000794,0.05420768785712324,0.02144597625277215,0.008220375638934397,0.014047872433740876
WV,708226,0.2646852840759527,0.686501201593874,0.032190289540345564,0.01129582929742844,1832185,0.07493580397176049,0.9331750688385725,0.0330191026015386,0.011438839145610297,0.006398478319602005,0.0016393955850528194,0.014339695227283272
WY,248742,0.22492783687520335,0.7005170015518029,0.05340875284432646,0.010098817248389997,543782,0.054436364204773234,0.8636191552864935,0.008109894222317032,0.08245441187828946,0.00725561714069241,0.020582332625942012,0.017482154613429647
